Date,Price
4-Jan-00,84.37
5-Jan-00,85.54
6-Jan-00,84.77
7-Jan-00,82.64
10-Jan-00,84.69
11-Jan-00,83.92
12-Jan-00,84.84
13-Jan-00,84.32
14-Jan-00,80.55
18-Jan-00,80.94
19-Jan-00,82.12
20-Jan-00,80.2
21-Jan-00,79.33
24-Jan-00,79.85
25-Jan-00,79.87
26-Jan-00,80.95
27-Jan-00,80.74
28-Jan-00,80.87
31-Jan-00,78.73
1-Feb-00,78.48
2-Feb-00,79.75
3-Feb-00,80.29
4-Feb-00,79.65
7-Feb-00,79.23
8-Feb-00,77.93
9-Feb-00,77.09
10-Feb-00,77.73
11-Feb-00,77.79
14-Feb-00,76.22
15-Feb-00,76.58
16-Feb-00,76.8
17-Feb-00,76.75
18-Feb-00,75.81
22-Feb-00,73.87
23-Feb-00,73.77
24-Feb-00,72.37
25-Feb-00,70.67
28-Feb-00,71.16
29-Feb-00,71
1-Mar-00,71.84
2-Mar-00,73.96
3-Mar-00,73.65
6-Mar-00,74.09
7-Mar-00,75.58
8-Mar-00,75.15
9-Mar-00,75.25
10-Mar-00,74.28
13-Mar-00,73.99
14-Mar-00,72.61
15-Mar-00,72.65
16-Mar-00,74.7
17-Mar-00,74.39
20-Mar-00,72.73
21-Mar-00,73.16
22-Mar-00,73.96
23-Mar-00,72.37
24-Mar-00,72.24
27-Mar-00,71.89
28-Mar-00,73.22
29-Mar-00,73.16
30-Mar-00,72.68
31-Mar-00,72.68
3-Apr-00,72.02
4-Apr-00,70.77
5-Apr-00,71.37
6-Apr-00,71.17
7-Apr-00,70.59
10-Apr-00,69.52
11-Apr-00,69.43
12-Apr-00,68.39
13-Apr-00,68.44
14-Apr-00,67.73
17-Apr-00,67.83
18-Apr-00,68.91
19-Apr-00,69.84
20-Apr-00,70.68
24-Apr-00,68.23
25-Apr-00,69.2
26-Apr-00,68.83
27-Apr-00,68.65
28-Apr-00,69.44
1-May-00,72.73
2-May-00,71.75
3-May-00,68.84
4-May-00,69.96
5-May-00,69.76
8-May-00,69.93
9-May-00,70.34
10-May-00,70.07
11-May-00,69.31
12-May-00,67.27
15-May-00,66.49
16-May-00,66.72
17-May-00,66.11
18-May-00,66.27
19-May-00,68.3
22-May-00,71.84
23-May-00,72.01
24-May-00,70.99
25-May-00,69.56
26-May-00,68.93
30-May-00,69.56
31-May-00,66.36
1-Jun-00,67.65
2-Jun-00,67.81
5-Jun-00,66.51
6-Jun-00,64.9
7-Jun-00,66.45
8-Jun-00,66.97
9-Jun-00,66.63
12-Jun-00,66.25
13-Jun-00,65.7
14-Jun-00,65.27
15-Jun-00,64.2
16-Jun-00,63.96
19-Jun-00,63.63
20-Jun-00,63.64
21-Jun-00,62.49
22-Jun-00,63.01
23-Jun-00,63.18
26-Jun-00,62.79
27-Jun-00,63.06
28-Jun-00,62.81
29-Jun-00,62.14
30-Jun-00,61.22
5-Jul-00,61.68
6-Jul-00,60.24
7-Jul-00,58.83
10-Jul-00,60.72
11-Jul-00,63.56
12-Jul-00,63.46
13-Jul-00,68.6
14-Jul-00,62.91
17-Jul-00,68.54
18-Jul-00,79.84
19-Jul-00,75.86
20-Jul-00,67.42
21-Jul-00,67.15
24-Jul-00,59.5
25-Jul-00,59.24
26-Jul-00,60.09
27-Jul-00,60.05
28-Jul-00,60.34
31-Jul-00,59.52
1-Aug-00,59.66
2-Aug-00,59.98
3-Aug-00,59.34
4-Aug-00,59.22
7-Aug-00,59.35
8-Aug-00,59.29
9-Aug-00,57.91
10-Aug-00,57.98
11-Aug-00,58.64
14-Aug-00,57.44
15-Aug-00,57.48
16-Aug-00,56.86
17-Aug-00,57.28
18-Aug-00,57.22
21-Aug-00,56.96
22-Aug-00,56.82
23-Aug-00,56.11
24-Aug-00,57.22
25-Aug-00,57.27
28-Aug-00,55.91
29-Aug-00,55.8
30-Aug-00,55.49
31-Aug-00,55.19
1-Sep-00,56.26
5-Sep-00,55.5
6-Sep-00,56.84
7-Sep-00,58.48
8-Sep-00,58.1
11-Sep-00,58.66
12-Sep-00,59.02
13-Sep-00,59.68
14-Sep-00,58.22
15-Sep-00,57.62
18-Sep-00,58.35
19-Sep-00,58.11
20-Sep-00,56.53
21-Sep-00,55.56
22-Sep-00,55.5
25-Sep-00,56.17
26-Sep-00,57.26
27-Sep-00,55.9
28-Sep-00,56.3
29-Sep-00,58.02
2-Oct-00,56.49
3-Oct-00,56.26
4-Oct-00,56.13
5-Oct-00,55.56
6-Oct-00,55.93
9-Oct-00,56.1
10-Oct-00,56.58
11-Oct-00,57.87
12-Oct-00,56.71
13-Oct-00,56.48
16-Oct-00,58.74
17-Oct-00,60.25
18-Oct-00,60.39
19-Oct-00,59.53
20-Oct-00,58.42
23-Oct-00,55.66
24-Oct-00,55.87
25-Oct-00,55.06
26-Oct-00,53.69
27-Oct-00,53.71
30-Oct-00,52.38
31-Oct-00,52.86
1-Nov-00,52.93
2-Nov-00,53.21
3-Nov-00,53.12
6-Nov-00,53.76
7-Nov-00,53.78
8-Nov-00,53.31
9-Nov-00,53.42
10-Nov-00,53.42
13-Nov-00,52.46
14-Nov-00,52.64
15-Nov-00,52.18
16-Nov-00,51.43
17-Nov-00,51.34
20-Nov-00,52.04
21-Nov-00,51.07
22-Nov-00,50.61
27-Nov-00,50.72
28-Nov-00,50.99
29-Nov-00,51.02
30-Nov-00,49.98
1-Dec-00,49.61
4-Dec-00,49.32
5-Dec-00,48.31
6-Dec-00,48.28
7-Dec-00,49.14
8-Dec-00,48.25
11-Dec-00,48.55
12-Dec-00,48.6
13-Dec-00,48.56
14-Dec-00,46.91
15-Dec-00,47.77
18-Dec-00,47.49
19-Dec-00,47.3
20-Dec-00,47.57
21-Dec-00,48.54
22-Dec-00,48.1
2-Jan-01,46.91
3-Jan-01,47.22
4-Jan-01,47.51
5-Jan-01,47.93
8-Jan-01,48.21
9-Jan-01,47.66
10-Jan-01,47.54
11-Jan-01,47.61
12-Jan-01,48.33
16-Jan-01,50.11
17-Jan-01,51.36
18-Jan-01,49.6
19-Jan-01,49.89
22-Jan-01,51.99
23-Jan-01,51.63
24-Jan-01,51.93
25-Jan-01,50.78
26-Jan-01,50.44
29-Jan-01,49.47
30-Jan-01,48.11
31-Jan-01,48.75
1-Feb-01,49.11
2-Feb-01,48.55
5-Feb-01,48.67
6-Feb-01,48.66
7-Feb-01,48.63
8-Feb-01,49
9-Feb-01,49.39
12-Feb-01,49.07
13-Feb-01,49.34
14-Feb-01,49.35
15-Feb-01,49.23
16-Feb-01,48.3
20-Feb-01,49.85
21-Feb-01,50.11
22-Feb-01,49.89
23-Feb-01,50.64
26-Feb-01,50.02
27-Feb-01,50.28
28-Feb-01,50.18
1-Mar-01,49.41
2-Mar-01,49.71
5-Mar-01,50
6-Mar-01,50.82
7-Mar-01,51.11
8-Mar-01,50.22
9-Mar-01,48.61
12-Mar-01,48.54
13-Mar-01,48.09
14-Mar-01,48.28
15-Mar-01,47.46
16-Mar-01,47.25
19-Mar-01,47.57
20-Mar-01,47.66
21-Mar-01,47.78
22-Mar-01,47.2
23-Mar-01,47.32
26-Mar-01,48.45
27-Mar-01,47.95
28-Mar-01,48.15
29-Mar-01,48.21
30-Mar-01,47.47
2-Apr-01,46.89
3-Apr-01,46.33
4-Apr-01,47.6
5-Apr-01,47.55
6-Apr-01,47.19
9-Apr-01,46.81
10-Apr-01,46.73
11-Apr-01,46.64
12-Apr-01,46.9
16-Apr-01,46.38
17-Apr-01,46.23
18-Apr-01,47.49
19-Apr-01,47.01
20-Apr-01,47.02
23-Apr-01,49.22
24-Apr-01,47.82
25-Apr-01,47.25
26-Apr-01,47.44
27-Apr-01,48.89
30-Apr-01,48.81
1-May-01,50.51
2-May-01,49.96
3-May-01,50.91
4-May-01,50.76
7-May-01,51.82
8-May-01,51.83
9-May-01,51.21
10-May-01,51.24
11-May-01,50.79
14-May-01,49.09
15-May-01,49.02
16-May-01,49.46
17-May-01,49.41
18-May-01,50.04
21-May-01,49.26
22-May-01,49.41
23-May-01,48.77
24-May-01,48.19
25-May-01,46.86
29-May-01,46.44
30-May-01,46.14
31-May-01,45.27
1-Jun-01,46.06
4-Jun-01,47.03
5-Jun-01,47.25
6-Jun-01,46.68
7-Jun-01,46.61
8-Jun-01,46.76
11-Jun-01,46.09
12-Jun-01,46.73
13-Jun-01,46.97
14-Jun-01,47.52
15-Jun-01,47.8
18-Jun-01,48.66
19-Jun-01,47.12
20-Jun-01,46.1
21-Jun-01,47.01
22-Jun-01,46.3
25-Jun-01,45.51
26-Jun-01,45.42
27-Jun-01,45.16
28-Jun-01,45.24
29-Jun-01,45.18
2-Jul-01,44.52
3-Jul-01,44.59
5-Jul-01,43.8
6-Jul-01,43.54
9-Jul-01,43.24
10-Jul-01,43.28
11-Jul-01,43.31
12-Jul-01,43.03
13-Jul-01,42.92
16-Jul-01,42.82
17-Jul-01,42.84
18-Jul-01,43.22
19-Jul-01,42.74
20-Jul-01,42.79
23-Jul-01,42.81
24-Jul-01,43.46
25-Jul-01,42.53
26-Jul-01,42.03
27-Jul-01,41.85
30-Jul-01,42.34
31-Jul-01,42.81
1-Aug-01,42.75
2-Aug-01,42.47
3-Aug-01,42.37
6-Aug-01,42.08
7-Aug-01,42.15
8-Aug-01,42.24
9-Aug-01,42.56
10-Aug-01,42.04
13-Aug-01,42.14
14-Aug-01,42.23
15-Aug-01,42.16
16-Aug-01,42.39
17-Aug-01,44.18
20-Aug-01,42.73
21-Aug-01,42.84
22-Aug-01,43.12
23-Aug-01,43.9
24-Aug-01,43.3
27-Aug-01,43.43
28-Aug-01,43.13
29-Aug-01,43.42
30-Aug-01,42.96
31-Aug-01,43
4-Sep-01,41.51
5-Sep-01,41.63
6-Sep-01,42
7-Sep-01,41.96
10-Sep-01,41.73
17-Sep-01,41.32
18-Sep-01,41.41
19-Sep-01,41.33
20-Sep-01,40.56
21-Sep-01,40.52
24-Sep-01,40.59
25-Sep-01,40.82
26-Sep-01,40.9
27-Sep-01,40.81
28-Sep-01,40.41
1-Oct-01,43.54
2-Oct-01,43.18
3-Oct-01,42.41
4-Oct-01,42.91
5-Oct-01,42.94
8-Oct-01,42.38
9-Oct-01,41.8
10-Oct-01,41.93
11-Oct-01,41.65
12-Oct-01,41.63
15-Oct-01,41.3
16-Oct-01,41.69
17-Oct-01,42.51
18-Oct-01,42.98
19-Oct-01,41.96
22-Oct-01,41.09
23-Oct-01,41.9
24-Oct-01,41.88
25-Oct-01,42.39
26-Oct-01,42.23
29-Oct-01,42.19
30-Oct-01,41.96
31-Oct-01,42.4
1-Nov-01,43.2
2-Nov-01,43.52
5-Nov-01,44.49
6-Nov-01,45.18
7-Nov-01,45.24
8-Nov-01,44.31
9-Nov-01,43.45
12-Nov-01,43.39
13-Nov-01,43.38
14-Nov-01,45.5
15-Nov-01,45.41
16-Nov-01,45.54
19-Nov-01,44.94
20-Nov-01,44.71
21-Nov-01,44.97
22-Nov-01,44.81
23-Nov-01,44.92
26-Nov-01,45.09
27-Nov-01,43.13
28-Nov-01,42.72
29-Nov-01,42.57
30-Nov-01,42.72
3-Dec-01,42.88
4-Dec-01,42.51
5-Dec-01,42.74
6-Dec-01,42.8
7-Dec-01,43.32
10-Dec-01,43.51
11-Dec-01,43.95
12-Dec-01,44.05
13-Dec-01,43.95
14-Dec-01,43.84
17-Dec-01,43.21
18-Dec-01,42.9
19-Dec-01,43.35
20-Dec-01,44.22
21-Dec-01,42.24
27-Dec-01,43.73
28-Dec-01,43.82
2-Jan-02,43.12
3-Jan-02,43.65
4-Jan-02,44.18
7-Jan-02,43.98
8-Jan-02,43.92
9-Jan-02,45.3
10-Jan-02,45.54
11-Jan-02,44.42
14-Jan-02,44.85
15-Jan-02,44.93
16-Jan-02,44.12
17-Jan-02,43.88
18-Jan-02,43.27
21-Jan-02,42.87
22-Jan-02,42.6
23-Jan-02,42.57
24-Jan-02,42.59
25-Jan-02,42.26
28-Jan-02,41.86
29-Jan-02,41.65
30-Jan-02,42.18
31-Jan-02,42.47
1-Feb-02,42.64
4-Feb-02,43.09
5-Feb-02,43.17
6-Feb-02,43.35
7-Feb-02,43.4
8-Feb-02,43.63
11-Feb-02,43.13
12-Feb-02,43.18
13-Feb-02,43.48
14-Feb-02,43.67
15-Feb-02,44.04
18-Feb-02,44.44
19-Feb-02,44.25
20-Feb-02,45.44
21-Feb-02,47.03
22-Feb-02,46.79
25-Feb-02,46.07
26-Feb-02,45.31
27-Feb-02,44.76
28-Feb-02,45.03
1-Mar-02,45.47
4-Mar-02,46.14
5-Mar-02,46.77
6-Mar-02,47.27
7-Mar-02,47.07
8-Mar-02,47.94
11-Mar-02,50.7
12-Mar-02,52.51
13-Mar-02,51.33
14-Mar-02,51.2
15-Mar-02,50.92
18-Mar-02,48.52
19-Mar-02,49.49
20-Mar-02,51.35
21-Mar-02,50.1
22-Mar-02,50.25
25-Mar-02,49.97
26-Mar-02,50.31
27-Mar-02,50.87
28-Mar-02,51.64
2-Apr-02,53.04
3-Apr-02,52.86
4-Apr-02,51.56
5-Apr-02,50.36
8-Apr-02,49.39
9-Apr-02,50.71
10-Apr-02,50.92
11-Apr-02,50.32
12-Apr-02,49.17
15-Apr-02,49.25
16-Apr-02,49.4
17-Apr-02,50.1
18-Apr-02,51.61
19-Apr-02,50.37
22-Apr-02,50.93
23-Apr-02,51.32
24-Apr-02,50.43
25-Apr-02,48.55
26-Apr-02,48.06
29-Apr-02,47.29
30-Apr-02,48.46
2-May-02,47.55
3-May-02,47.4
6-May-02,47.61
7-May-02,47.6
8-May-02,47.24
10-May-02,46.28
13-May-02,46.05
14-May-02,46.22
15-May-02,46.37
16-May-02,47.1
17-May-02,47.24
21-May-02,48.57
22-May-02,47.48
23-May-02,47.38
24-May-02,47.5
27-May-02,47.7
28-May-02,47.02
29-May-02,47.82
30-May-02,47.78
31-May-02,48.08
3-Jun-02,47.48
4-Jun-02,47.34
5-Jun-02,46.92
6-Jun-02,46.81
7-Jun-02,46.19
10-Jun-02,46.21
11-Jun-02,46.02
12-Jun-02,45.8
13-Jun-02,44.77
14-Jun-02,44.34
17-Jun-02,44.41
18-Jun-02,44.2
19-Jun-02,44.17
20-Jun-02,45
21-Jun-02,45.13
24-Jun-02,45.77
25-Jun-02,45.55
26-Jun-02,45.02
27-Jun-02,45.06
28-Jun-02,44.95
1-Jul-02,45.47
2-Jul-02,46.5
3-Jul-02,45.38
4-Jul-02,45.25
5-Jul-02,45.29
8-Jul-02,45.33
9-Jul-02,45.81
10-Jul-02,46.23
11-Jul-02,47.6
12-Jul-02,46.22
15-Jul-02,45.33
16-Jul-02,45.51
17-Jul-02,45.49
18-Jul-02,44.03
19-Jul-02,43.89
22-Jul-02,43.87
23-Jul-02,43.77
24-Jul-02,43.21
25-Jul-02,43.32
26-Jul-02,43.32
29-Jul-02,42.67
30-Jul-02,42.39
31-Jul-02,42.28
1-Aug-02,42.73
2-Aug-02,43.28
5-Aug-02,42.6
6-Aug-02,42.69
7-Aug-02,42.69
8-Aug-02,43.24
9-Aug-02,43.12
12-Aug-02,43.47
13-Aug-02,43.19
14-Aug-02,43.24
15-Aug-02,42.26
16-Aug-02,42.14
19-Aug-02,41.88
20-Aug-02,42.03
21-Aug-02,41.85
22-Aug-02,42.45
23-Aug-02,42.83
26-Aug-02,42.2
27-Aug-02,42.27
28-Aug-02,43.54
29-Aug-02,43.64
30-Aug-02,44
2-Sep-02,44.38
3-Sep-02,45.32
4-Sep-02,47.35
5-Sep-02,47.17
6-Sep-02,47.71
9-Sep-02,50.45
10-Sep-02,50.05
11-Sep-02,49.09
12-Sep-02,50.25
13-Sep-02,50.65
16-Sep-02,51.88
17-Sep-02,51
18-Sep-02,49.69
19-Sep-02,48.26
20-Sep-02,46.5
23-Sep-02,45.87
24-Sep-02,45.88
25-Sep-02,46.85
26-Sep-02,46.32
27-Sep-02,46.42
30-Sep-02,45.99
1-Oct-02,47.43
2-Oct-02,48.08
3-Oct-02,47.63
4-Oct-02,47.22
7-Oct-02,47.71
8-Oct-02,48.37
9-Oct-02,48.68
10-Oct-02,47.72
11-Oct-02,47.71
14-Oct-02,50.96
15-Oct-02,55.63
16-Oct-02,53.99
17-Oct-02,53.45
18-Oct-02,51.12
21-Oct-02,52.42
22-Oct-02,51.91
23-Oct-02,51.97
24-Oct-02,53.87
25-Oct-02,55.14
28-Oct-02,52.48
29-Oct-02,50.86
30-Oct-02,50.93
31-Oct-02,52.79
1-Nov-02,52.1
4-Nov-02,53.07
5-Nov-02,53.52
6-Nov-02,53.73
7-Nov-02,54.07
8-Nov-02,54.83
11-Nov-02,53.89
12-Nov-02,52.67
13-Nov-02,53.05
14-Nov-02,53.52
15-Nov-02,55.26
18-Nov-02,54.93
19-Nov-02,55.63
20-Nov-02,56.82
21-Nov-02,56.22
22-Nov-02,56.22
25-Nov-02,55.39
26-Nov-02,55.63
27-Nov-02,55.88
28-Nov-02,55.88
29-Nov-02,55.9
2-Dec-02,57.28
3-Dec-02,56.06
4-Dec-02,55.27
5-Dec-02,56.01
6-Dec-02,53.9
9-Dec-02,52.67
10-Dec-02,52.4
11-Dec-02,49.96
12-Dec-02,48.57
13-Dec-02,48.16
16-Dec-02,48.97
17-Dec-02,49.87
18-Dec-02,50.41
19-Dec-02,49.77
20-Dec-02,50.19
23-Dec-02,50.15
27-Dec-02,50.18
30-Dec-02,50.51
2-Jan-03,51.2
3-Jan-03,50.9
6-Jan-03,52.46
7-Jan-03,52.55
8-Jan-03,52.11
9-Jan-03,52.13
10-Jan-03,53.2
13-Jan-03,53.4
14-Jan-03,53.27
15-Jan-03,53.97
16-Jan-03,54.16
17-Jan-03,54.95
20-Jan-03,54.93
21-Jan-03,55.03
22-Jan-03,56.22
23-Jan-03,56.69
24-Jan-03,56.35
27-Jan-03,55.3
28-Jan-03,54.89
29-Jan-03,54.53
30-Jan-03,54.6
31-Jan-03,55.93
3-Feb-03,56.35
4-Feb-03,55.88
5-Feb-03,55.09
6-Feb-03,56.1
7-Feb-03,56.5
10-Feb-03,57.29
11-Feb-03,56.79
12-Feb-03,55.78
13-Feb-03,53.68
14-Feb-03,53.82
17-Feb-03,54.17
18-Feb-03,53.94
19-Feb-03,53.03
20-Feb-03,53.78
21-Feb-03,53.31
24-Feb-03,52.29
25-Feb-03,51.62
26-Feb-03,50.95
27-Feb-03,50.98
28-Feb-03,50.06
3-Mar-03,50.27
4-Mar-03,49.84
5-Mar-03,50.61
6-Mar-03,50.7
7-Mar-03,51.06
10-Mar-03,51.34
11-Mar-03,49.8
12-Mar-03,49.4
13-Mar-03,49.49
14-Mar-03,49.58
17-Mar-03,48.07
18-Mar-03,48.27
19-Mar-03,49.03
20-Mar-03,50.48
21-Mar-03,50.67
24-Mar-03,49.8
25-Mar-03,48.69
26-Mar-03,48.38
27-Mar-03,48.13
28-Mar-03,48.9
31-Mar-03,49.32
1-Apr-03,49.74
2-Apr-03,50.71
3-Apr-03,52.11
4-Apr-03,51.6
7-Apr-03,52.41
8-Apr-03,52.02
9-Apr-03,51.7
10-Apr-03,51.42
11-Apr-03,51.32
14-Apr-03,49.64
15-Apr-03,50.54
16-Apr-03,51.01
17-Apr-03,52.05
22-Apr-03,53.39
23-Apr-03,53.45
24-Apr-03,52.78
25-Apr-03,52.44
28-Apr-03,51.79
29-Apr-03,53
30-Apr-03,54.31
2-May-03,54.23
5-May-03,54.9
6-May-03,55.56
7-May-03,55.21
8-May-03,55.19
9-May-03,55.13
12-May-03,55.06
13-May-03,54.38
14-May-03,53.17
15-May-03,52.72
16-May-03,52.88
19-May-03,52.6
20-May-03,53.87
21-May-03,53
22-May-03,53.26
23-May-03,52.81
26-May-03,52.64
27-May-03,49.85
28-May-03,49.4
30-May-03,47.97
2-Jun-03,49.18
3-Jun-03,48.82
4-Jun-03,48.61
5-Jun-03,48.39
6-Jun-03,48.8
10-Jun-03,49.47
11-Jun-03,50.25
12-Jun-03,50.47
13-Jun-03,49.76
16-Jun-03,49.58
17-Jun-03,49.41
18-Jun-03,48.83
19-Jun-03,47.69
20-Jun-03,47.23
23-Jun-03,47.44
24-Jun-03,48.17
25-Jun-03,47.85
26-Jun-03,49.09
27-Jun-03,49.35
30-Jun-03,49.65
1-Jul-03,49.6
2-Jul-03,51.76
3-Jul-03,51.43
4-Jul-03,50.93
7-Jul-03,50.61
8-Jul-03,50.88
9-Jul-03,51.55
10-Jul-03,50.59
11-Jul-03,50.61
14-Jul-03,51.13
15-Jul-03,51.12
16-Jul-03,51.37
17-Jul-03,51.69
18-Jul-03,51.61
21-Jul-03,49.92
22-Jul-03,49.33
23-Jul-03,49.31
24-Jul-03,49.2
25-Jul-03,50.18
28-Jul-03,50.62
29-Jul-03,52.3
30-Jul-03,52.15
31-Jul-03,52.5
1-Aug-03,53.8
4-Aug-03,53.88
5-Aug-03,52.73
6-Aug-03,53.04
7-Aug-03,53.39
8-Aug-03,52.84
11-Aug-03,51.56
12-Aug-03,51.95
13-Aug-03,52.39
14-Aug-03,52.5
15-Aug-03,51.58
18-Aug-03,50.94
19-Aug-03,51.12
20-Aug-03,50.97
21-Aug-03,52.19
22-Aug-03,51.77
25-Aug-03,52.02
26-Aug-03,51.9
27-Aug-03,51.65
28-Aug-03,52.1
29-Aug-03,52.21
1-Sep-03,52.38
2-Sep-03,52.4
3-Sep-03,52.43
4-Sep-03,53.26
5-Sep-03,54.27
8-Sep-03,57.27
9-Sep-03,57.88
10-Sep-03,57.94
11-Sep-03,58.64
12-Sep-03,58.01
15-Sep-03,54.77
16-Sep-03,52.12
17-Sep-03,52.47
18-Sep-03,51.7
19-Sep-03,51.88
22-Sep-03,53.05
23-Sep-03,53.17
24-Sep-03,53.86
25-Sep-03,53.96
26-Sep-03,52.86
29-Sep-03,53.08
30-Sep-03,52.8
1-Oct-03,53.31
2-Oct-03,53.53
3-Oct-03,53.78
6-Oct-03,52.38
7-Oct-03,52.36
8-Oct-03,51.84
9-Oct-03,51.28
10-Oct-03,50.85
13-Oct-03,50.45
14-Oct-03,51.03
15-Oct-03,50.77
16-Oct-03,50.91
17-Oct-03,50.41
20-Oct-03,51.08
21-Oct-03,51.62
22-Oct-03,51.56
23-Oct-03,51.78
24-Oct-03,52.24
27-Oct-03,53
28-Oct-03,53.28
29-Oct-03,51.73
30-Oct-03,50.64
31-Oct-03,49.8
3-Nov-03,49.99
4-Nov-03,50.69
5-Nov-03,50.51
6-Nov-03,50.44
7-Nov-03,50.58
10-Nov-03,50
11-Nov-03,49.71
12-Nov-03,49.84
13-Nov-03,50.18
14-Nov-03,50.13
17-Nov-03,50.01
18-Nov-03,50.04
19-Nov-03,49.95
20-Nov-03,48.95
21-Nov-03,48.43
24-Nov-03,48.8
25-Nov-03,49
26-Nov-03,49.38
27-Nov-03,49.66
28-Nov-03,49.76
1-Dec-03,50.71
2-Dec-03,52.24
3-Dec-03,52.57
4-Dec-03,51.73
5-Dec-03,52.13
8-Dec-03,53.79
9-Dec-03,53.58
10-Dec-03,53.38
11-Dec-03,53.12
12-Dec-03,53.39
15-Dec-03,51.39
16-Dec-03,51.57
17-Dec-03,52.36
18-Dec-03,51.92
19-Dec-03,52.35
22-Dec-03,52.64
23-Dec-03,52.35
29-Dec-03,52.47
30-Dec-03,52.66
5-Jan-04,54.55
6-Jan-04,56.68
7-Jan-04,55.99
8-Jan-04,55.66
9-Jan-04,56.15
12-Jan-04,57.38
13-Jan-04,57.17
14-Jan-04,56.36
15-Jan-04,56.57
16-Jan-04,57.78
19-Jan-04,58.44
20-Jan-04,60.26
21-Jan-04,60.35
22-Jan-04,60.71
23-Jan-04,60.48
26-Jan-04,62.38
27-Jan-04,62.8
28-Jan-04,62.23
29-Jan-04,61.02
30-Jan-04,60.71
2-Feb-04,60.88
3-Feb-04,61.4
4-Feb-04,59.9
5-Feb-04,59.38
6-Feb-04,59.18
9-Feb-04,58.74
10-Feb-04,60.47
11-Feb-04,60.83
12-Feb-04,61.28
13-Feb-04,60.66
16-Feb-04,60.63
17-Feb-04,60.72
18-Feb-04,58.66
19-Feb-04,58.12
20-Feb-04,58.04
23-Feb-04,57.6
24-Feb-04,59.64
25-Feb-04,59.46
26-Feb-04,60.71
27-Feb-04,61.11
1-Mar-04,61.3
2-Mar-04,61.05
3-Mar-04,59.57
4-Mar-04,59.79
5-Mar-04,60.42
8-Mar-04,60.71
9-Mar-04,60.1
10-Mar-04,60.29
